 time,energy conservation violation
   24.452999999988361      ,   3.1086244689504383E-015
   24.453499999988360      ,   3.3306690738754696E-015
   24.453999999988358      ,   3.3306690738754696E-015
   24.454499999988357      ,   3.1086244689504383E-015
   24.454999999988356      ,   3.3306690738754696E-015
   24.455499999988355      ,   3.5527136788005009E-015
   24.455999999988354      ,   3.3306690738754696E-015
   24.456499999988353      ,   3.5527136788005009E-015
   24.456999999988351      ,   3.3306690738754696E-015
   24.457499999988350      ,   3.3306690738754696E-015
   24.457999999988349      ,   3.5527136788005009E-015
   24.458499999988348      ,   3.3306690738754696E-015
   24.458999999988347      ,   3.7747582837255322E-015
   24.459499999988346      ,   3.7747582837255322E-015
   24.459999999988344      ,   3.5527136788005009E-015
   24.460499999988343      ,   3.5527136788005009E-015
   24.460999999988342      ,   3.7747582837255322E-015
   24.461499999988341      ,   3.3306690738754696E-015
   24.461999999988340      ,   3.3306690738754696E-015
   24.462499999988339      ,   3.7747582837255322E-015
   24.462999999988337      ,   3.5527136788005009E-015
   24.463499999988336      ,   3.9968028886505635E-015
   24.463999999988335      ,   4.2188474935755949E-015
   24.464499999988334      ,   3.9968028886505635E-015
   24.464999999988333      ,   3.9968028886505635E-015
   24.465499999988332      ,   3.7747582837255322E-015
   24.465999999988330      ,   3.5527136788005009E-015
   24.466499999988329      ,   3.7747582837255322E-015
   24.466999999988328      ,   3.9968028886505635E-015
   24.467499999988327      ,   3.5527136788005009E-015
   24.467999999988326      ,   3.7747582837255322E-015
   24.468499999988325      ,   3.3306690738754696E-015
   24.468999999988323      ,   3.5527136788005009E-015
   24.469499999988322      ,   3.5527136788005009E-015
   24.469999999988321      ,   3.3306690738754696E-015
   24.470499999988320      ,   3.3306690738754696E-015
   24.470999999988319      ,   3.9968028886505635E-015
   24.471499999988318      ,   3.5527136788005009E-015
   24.471999999988316      ,   3.5527136788005009E-015
   24.472499999988315      ,   3.7747582837255322E-015
   24.472999999988314      ,   3.5527136788005009E-015
   24.473499999988313      ,   3.3306690738754696E-015
   24.473999999988312      ,   3.3306690738754696E-015
   24.474499999988311      ,   3.1086244689504383E-015
   24.474999999988309      ,   3.5527136788005009E-015
   24.475499999988308      ,   3.3306690738754696E-015
   24.475999999988307      ,   3.3306690738754696E-015
   24.476499999988306      ,   2.8865798640254070E-015
   24.476999999988305      ,   3.3306690738754696E-015
   24.477499999988304      ,   3.5527136788005009E-015
   24.477999999988302      ,   3.3306690738754696E-015
   24.478499999988301      ,   3.3306690738754696E-015
   24.478999999988300      ,   3.3306690738754696E-015
   24.479499999988299      ,   3.1086244689504383E-015
   24.479999999988298      ,   3.1086244689504383E-015
   24.480499999988297      ,   3.1086244689504383E-015
   24.480999999988295      ,   3.3306690738754696E-015
   24.481499999988294      ,   2.6645352591003757E-015
   24.481999999988293      ,   2.8865798640254070E-015
   24.482499999988292      ,   3.1086244689504383E-015
   24.482999999988291      ,   3.1086244689504383E-015
   24.483499999988290      ,   3.3306690738754696E-015
   24.483999999988288      ,   3.3306690738754696E-015
   24.484499999988287      ,   3.3306690738754696E-015
   24.484999999988286      ,   3.3306690738754696E-015
   24.485499999988285      ,   3.3306690738754696E-015
   24.485999999988284      ,   3.3306690738754696E-015
   24.486499999988283      ,   3.3306690738754696E-015
   24.486999999988281      ,   3.9968028886505635E-015
   24.487499999988280      ,   3.7747582837255322E-015
   24.487999999988279      ,   3.9968028886505635E-015
   24.488499999988278      ,   3.7747582837255322E-015
   24.488999999988277      ,   4.2188474935755949E-015
   24.489499999988276      ,   3.7747582837255322E-015
   24.489999999988274      ,   3.7747582837255322E-015
   24.490499999988273      ,   3.9968028886505635E-015
   24.490999999988272      ,   3.9968028886505635E-015
   24.491499999988271      ,   3.9968028886505635E-015
   24.491999999988270      ,   4.2188474935755949E-015
   24.492499999988269      ,   4.2188474935755949E-015
   24.492999999988267      ,   3.9968028886505635E-015
   24.493499999988266      ,   3.9968028886505635E-015
   24.493999999988265      ,   3.7747582837255322E-015
   24.494499999988264      ,   3.9968028886505635E-015
   24.494999999988263      ,   3.9968028886505635E-015
   24.495499999988262      ,   3.9968028886505635E-015
   24.495999999988260      ,   3.9968028886505635E-015
   24.496499999988259      ,   3.7747582837255322E-015
   24.496999999988258      ,   3.7747582837255322E-015
   24.497499999988257      ,   3.7747582837255322E-015
   24.497999999988256      ,   3.9968028886505635E-015
